created_at,full_text
2021-06-30 02:10:28+00:00,"""...Republicans want to do what no political party has ever tried to do: get to decide if your vote counts. It's outrageous. We're going to fight like hell to make sure that doesn't happen"" https://t.co/nzPCoJfApf"
2021-06-30 20:32:13+00:00,"Zvonimir Joseph Jurlina was arrested on Monday and charged with destruction of property and act of physical violence on grounds, authorities said. https://t.co/nE4QM8XE0Q"
2021-06-30 01:51:08+00:00,The flurry of activity is a sign that there is no clear frontrunner to lead the GOP if Trump opts against a 2024 campaign https://t.co/cHFDW82mTm
2021-06-30 20:13:21+00:00,"A South Carolina couple was surprised this week after their ringing doorbell wasn’t a visitor or a delivery, but instead their missing dog. https://t.co/CpW7pD6WFx"
2021-06-30 19:42:21+00:00,"Fox News host Tucker Carlson continued to insist Tuesday that the National Security Agency had spied on his email and text communications and planned to leak sensitive information in an effort to ""take his show off the air."" https://t.co/WiDVvzUAFD"
2021-06-30 19:20:11+00:00,An unprecedented heat wave in the Pacific Northwest this week sent more than a thousand people to emergency rooms and has been linked to at least 233 reported deaths in Canada. https://t.co/mzLgI72vEO
2021-06-30 19:06:29+00:00,"Trump was invited to South Texas by the state's governor, Greg Abbott, and joined by a handful of House Republicans, who made the trip from Washington to stand by his side. https://t.co/i4HihVUaNK"
2021-06-30 18:47:07+00:00,"North Korean leader Kim Jong Un berated top officials for failures in coronavirus prevention that caused a “great crisis,” using strong language that raised the specter of a mass outbreak in a country that would be scarcely able to handle it https://t.co/xg9R7YkcCn"
2021-06-30 18:25:34+00:00,Grocery stores in Washington state have been forced to pull perishable goods from shelves and turn off entire refrigerated sections in order to combat record-shattering temperatures. https://t.co/9Lge2PEKGR
2021-06-30 17:44:17+00:00,"The company’s modified 747 jet dubbed Cosmic Girl jet took off from California’s Mojave Desert, carrying the 70-foot (21-meter) rocket beneath its left wing.  https://t.co/IJTqoXB6gz"
2021-06-30 17:23:55+00:00,The ruling came just before the so-called abortion reversal law adopted by Indiana’s Republican-dominated Legislature was to take effect Thursday.  https://t.co/9yAjGJYV8A
2021-06-30 16:47:46+00:00,"WATCH LIVE: White House briefing with Press Sec Jen Psaki, EPA Administrator Michael Regan https://t.co/6BpVTrqMsH"
2021-06-30 16:44:26+00:00,BREAKING: Bill Cosby’s sex assault conviction overturned by court https://t.co/ehqynTWhS4
2021-06-30 16:41:30+00:00,"BREAKING: “Smallville” actor Allison Mack was sentenced to three years in prison on Wednesday for her role in the scandal-ridden, cult-like NXIVM group. https://t.co/pUgWsaBJGc"
2021-06-30 15:59:46+00:00,"The death toll in the collapse of a beachfront condo in Surfside, Fla., increased to 16 Wednesday after officials said four bodies were pulled from the rubble overnight https://t.co/6LH8fnh8XF"
2021-06-30 15:47:58+00:00,"""I don't know if we're going to be able to buy our way out of this,"" Col. Robert Ator, the program director of the Arkansas vaccine incentive program said https://t.co/kTW6zvDjqO"
2021-06-30 15:31:45+00:00,"U.S. Navy veteran Mark Frerichs, 58, was abducted in Kabul in January 2020 after being lured to what he thought was a new business meeting -- but which turned out to be a horrific ruse, family members and officials have said https://t.co/e6Z5Aezvc0"
2021-06-30 15:14:58+00:00,It came after local officials worried that the event could be hijacked for partisan political reasons. Trump had been billed as the keynote speaker at Saturday's Republican Party event at the USS Alabama Battleship Memorial Park. https://t.co/bj0MCw5xA6
2021-06-30 15:11:32+00:00,"WATCH LIVE: Biden, Harris convene Cabinet officials, governors to discuss heat wave in Western U.S. https://t.co/iipsKJM4pe"
2021-06-30 15:00:43+00:00,Noem said she was heeding Texas Gov. Greg Abbott's request for help policing the U.S.-Mexico border https://t.co/wwtPFAW7dA
2021-06-30 14:51:40+00:00,"BREAKING: The Manhattan District Attorney’s Office is expected to charge the Trump Organization with tax-related crimes on Thursday, two representatives of the company told NBC News. One person said the charges are expected to be filed around 2 p.m. ET https://t.co/FuLNwvD7HR"
2021-06-30 14:20:40+00:00,"Federal authorities are deeply concerned about the possibility of domestic terror and violence, including mass shootings, as the July Fourth holiday approaches and the summer season gets fully underway https://t.co/b6u2Ag2w9F"
2021-06-30 14:04:44+00:00,"The possibility that severe weather in coming days could further stretch Florida's search and rescue resources prompted state officials to ask the federal government for the additional team. Already, intermittent bad weather has caused temporary delays. https://t.co/rroh5LPOQa"
2021-06-30 13:51:49+00:00,"The poll shows Biden is still more popular than his predecessor ever was: 55% of adults approve of Biden's performance in office and 65% like his response to the pandemic. At this point 4 years ago, about 36% of adults approved of Trump's job performance. https://t.co/e2YXa7yxex"
2021-06-30 13:04:24+00:00,"""Officially banned from the MLB. It was a good run! This letter is priceless."" https://t.co/Lu1wKQTB5i"
2021-06-30 12:50:51+00:00,"In a memo to all House Republicans late Tuesday, No. 2 House Republican Steve Scalise urged his members to vote against the resolution, saying the select panel “is likely to pursue a partisan agenda” in investigating the siege by Trump supporters https://t.co/PWyce23FCq"
2021-06-30 12:33:02+00:00,"""Symbols of slavery, sedition, and segregation have no place in the halls of Congress,"" said House Majority Leader Steny Hoyer (D-Md.), a sponsor of the legislation https://t.co/VVOV91O072"
2021-06-30 12:29:04+00:00,The disclosure of the brisk pace of the U.S. withdrawal comes as the Taliban insurgency ramps up its offensive throughout the country. The Pentagon now estimates the Taliban control 81 of the country's 419 district centers. https://t.co/UIrvS18d7m
2021-06-30 12:14:12+00:00,"The bungle was a black mark on New York City’s first major foray into ranked-choice voting and seemed to confirm worries that the city’s Board of Elections, which is jointly run by Democrats and Republicans, was unprepared to implement the new system. https://t.co/6W7laR8R0e"
2021-06-30 12:01:53+00:00,"The Surfside home was a gathering spot for visiting kids and grandkids, and his daughter and son-in-law had traveled to the condo last week to join him for the Sabbath

Hours later, the building collapsed, and all 3 family members are missing in the rubble https://t.co/rsfLLzQoYX"
2021-06-30 04:07:43+00:00,"""It's here where you have to consider if Tucker Carlson holds the power of life and death — or, at least, good health or ill — over his nearly 3 million conservative viewers."" https://t.co/39iL1EhI5K"
2021-06-30 03:11:34+00:00,Gen. Austin Scott Miller said he stands by his belief that there cannot be a military victor in Afghanistan https://t.co/xogTIDKhNB
2021-06-30 02:10:28+00:00,"""...Republicans want to do what no political party has ever tried to do: get to decide if your vote counts. It's outrageous. We're going to fight like hell to make sure that doesn't happen"" https://t.co/nzPCoJfApf"
2021-06-30 01:51:08+00:00,The flurry of activity is a sign that there is no clear frontrunner to lead the GOP if Trump opts against a 2024 campaign https://t.co/cHFDW82mTm
